#FamilyID	aly<0>	ath<1>	<2>	cru<3>	bol<4>	bra<5>	<6>	<7>	ppe<8>	mdo<9>	<10>	cpa<11>	rco<12>	ptr<13>	<14>	fve<15>	cme<16>	csa<17>	mtr<18>	car<19>	<20>	tca<21>	<22>	ccl<23>	<24>	<25>	<26>	gma<27>	Cquinoa<28>	Soleracea<29>	<30>	<31>	<32>	<33>	<34>	Bvulgaris<35>	sly<36>	stu<37>	<38>	<39>	<40>	Ahypochondriacus<41>	<42>	Mguttatus<43>	<44>	egr<45>	<46>	dianthus<47>	iceplant<48>	hylocereus<49>	<50>	ccan<51>	<52>	Vvi<53>	Klaxiflora<54>	Kfedtschenkoi<55>	<56>	<57>	<58>	dca<59>	<60>	<61>	<62>	<63>	osa<64>	zma<65>	<66>	<67>	<68>	Acomosus<69>	<70>	<71>	<72>	Atr<73>	<74>	
OG0000070	0.514728	0.514728	0.0711521	0.566131	0.546844	0.546844	0.54286	0.00469686	0.549516	5.50745e-06	0.592669	0.253618	0.0014451	3.43925e-09	0.601484	0.0827255	0.552133	0.552133	0.000318405	0.538489	0.522212	0.678184	0.0905504	0.278386	0.637542	0.291291	0.60138	1.76995e-11	0.000203736	0.0258806	0.516972	0.508678	0.509147	0.650371	0.542228	0.0863505	0.0658097	0.543699	0.0747092	0.547929	0.507864	0.563884	0.634085	0.101702	0.509868	0.183205	0.587927	0.00539486	0.0126019	0.186012	0.508931	0.00968838	0.563473	0.208224	2.9613e-09	0.292964	0.545085	0.562163	0.596431	0.335615	0.51487	1.41822e-05	0.239727	0.630526	0.644743	0.0196795	0.503249	0.505592	0.012236	0.792775	0.614566	0.00368368	0.565155	0.146159	N/A
OG0000071	0.514728	0.514728	0.532318	0.0685149	0.5	0.5	0.529218	0.000505866	0.537865	0.0569293	0.0040026	0.702178	0.635884	0.0837478	0.153839	0.63638	0.633742	0.633742	4.42042e-09	0.0403343	0.529284	0.0203116	0.00455482	0.748516	0.249191	0.000470367	0.673068	1.11527e-08	0.000583979	0.042474	0.522437	0.00584447	0.511395	0.00227653	0.567404	0.590098	0.00688353	0.590485	0.549579	0.0255052	0.513003	0.00827514	0.00251042	9.91921e-05	0.509868	0.382519	0.0652878	0.000513712	0.653159	0.0215442	0.513306	0.716566	0.563473	0.76558	0.593382	0.00229692	0.558733	0.58024	0.63396	0.769972	0.51487	0.737601	0.656843	0.0148846	0.518327	0.518327	0.503249	0.505592	0.562104	0.577152	0.0505136	0.00916875	0.55015	0.220272	N/A
OG0000073	0.514728	0.514728	0.532318	0.545668	0.528945	0.0434933	0.064461	0.578388	0.581841	8.96737e-08	0.00641585	0.16945	0.140663	0.592742	0.0867175	0.683012	0.124722	0.582351	0.00329934	0.0010829	0.536197	0.382337	0.710471	0.389905	0.68438	0.380227	0.657341	0.038634	0.528232	0.528232	0.527807	0.514338	0.513627	0.13738	0.0296056	0.112147	0.553708	4.01547e-05	0.108331	0.569282	0.510444	0.582384	0.658552	0.687883	0.514693	0.126286	0.611887	0.000513712	0.095532	0.000350108	0.511126	0.693072	0.590612	0.00522241	0.0660375	0.171034	0.558733	0.58024	0.615954	0.0722852	0.00946955	0.766792	0.282856	0.654595	0.5	0.5	0.504056	0.506975	0.0921273	0.577152	6.49422e-07	0.567452	0.517625	0.641321	N/A
OG0000074	0.528809	0.528809	0.561538	0.128858	0.571775	0.571775	0.5559	1.12736e-05	0.537865	0.0198156	0.617605	0.0169716	0.0890665	0.55915	0.57937	0.00307435	0.53572	0.53572	0.547403	0.000525088	0.529284	0.0203116	0.279659	0.719149	0.209564	0.0140475	0.621644	1.65818e-08	5.38318e-06	0.042474	0.522437	0.51152	0.509147	0.0933518	0.567404	0.136602	0.553708	0.553708	0.549579	0.547929	0.513003	0.599659	0.658552	0.687883	0.509868	0.745265	0.633633	0.039296	0.00784485	0.653159	0.511126	0.0151823	0.563473	0.416978	1.41866e-06	0.630058	0.0317195	0.58024	0.615954	0.746231	0.51487	0.0647088	0.656843	0.0784283	0.0460865	0.58221	0.503249	0.505592	0.717822	0.191036	0.614566	0.136593	0.565155	0.813164	N/A
OG0000075	0.542274	0.0637322	0.587988	0.619449	0.601774	0.0594602	0.58029	2.18633e-07	0.0746134	0.0018311	0.0117596	0.311788	0.0014451	0.576476	0.601484	0.00580361	0.567659	0.567659	0.556052	0.0846573	0.529284	0.332088	0.682116	0.719149	0.637542	0.68941	0.640246	0.0297593	0.00879581	0.0258806	0.522437	0.51152	0.509147	0.0206361	0.542228	0.557354	0.553708	0.0288842	0.549579	0.547929	0.507864	0.0962295	0.0810302	0.246099	0.509868	0.382519	0.587927	0.000842592	0.186012	0.622817	0.508931	0.665726	0.563473	0.76558	8.19911e-06	0.593382	0.545085	0.562163	0.596431	0.0507404	0.51487	0.737601	0.239727	0.630526	0.56754	0.0369259	0.503249	0.505592	0.0953695	0.280431	0.0505136	0.665286	0.55015	0.435379	N/A
OG0000076	0.528809	0.528809	0.113613	0.602917	0.56371	0.0348825	0.568367	0.0125878	0.549516	5.50745e-06	0.640106	0.0260515	0.592742	0.000236035	0.601484	0.63638	0.567659	0.567659	0.547403	5.69927e-06	0.536197	0.184026	0.710471	0.389905	0.249191	0.339068	0.621644	0.00131875	2.76269e-06	0.522783	0.527807	0.514338	0.511395	0.67647	0.555094	0.0409665	0.0346328	0.563379	0.560792	0.558808	0.510444	3.22705e-05	0.100618	0.687883	0.51229	0.774246	0.611887	0.667692	0.095532	0.000350108	0.511126	0.693072	0.577389	0.0593614	0.0789398	0.630058	0.558733	0.58024	0.615954	0.746231	0.518483	0.212597	0.282856	0.654595	0.56754	0.56754	0.504056	0.506975	0.0953695	0.000690029	0.0063535	0.665286	0.55015	0.77868	N/A
OG0000079	0.535617	0.535617	0.57509	0.156328	0.571775	0.0398303	0.568367	0.000571772	0.537865	0.00101829	0.00674744	0.666538	0.55915	0.00258058	0.57937	0.608443	0.552133	0.552133	0.00329934	1.90158e-05	0.522212	0.678184	0.648311	0.682361	0.609429	0.654881	0.657341	0.00329782	0.00879581	0.0258806	0.516972	0.508678	0.506884	3.18926e-05	0.542228	0.0863505	0.0288842	0.553708	0.537914	0.536628	0.507864	0.00303629	0.0810302	0.660898	0.507429	0.707524	0.587927	0.205514	0.186012	0.0126019	0.508931	0.2537	0.548821	0.727866	1.41866e-06	0.630058	0.545085	0.562163	0.596431	0.716874	0.511216	0.00352408	0.626012	0.0590837	0.00109023	0.0369259	0.50244	0.504203	0.689138	0.156074	0.590145	0.10373	0.55015	0.77868	N/A
OG0000080	0.00135579	0.542274	0.0416518	0.602917	0.546844	0.000511827	0.568367	0.620385	0.549516	3.59734e-08	0.0692348	0.0169716	0.576476	0.000123697	0.601484	0.000871298	0.53572	0.53572	3.95187e-07	5.69927e-06	0.529284	0.332088	0.682116	0.339329	0.637542	0.0140475	0.621644	0.0956564	9.31562e-06	0.533587	0.522437	0.51152	0.509147	0.0933518	0.00228941	0.00134992	0.0231218	0.543699	0.549579	0.547929	0.510444	0.582384	0.0610611	0.629543	0.509868	0.00306708	0.611887	0.0267166	0.653159	4.15454e-07	0.506721	0.63377	0.563473	0.0884967	0.0309214	0.675507	0.558733	0.58024	0.575245	0.275018	0.51487	0.000173067	0.656843	0.198663	0.0534862	0.0184925	0.503249	0.505592	0.612889	0.636935	0.00277265	0.621579	0.534324	0.342022	N/A
OG0000082	0.521848	0.521848	0.547294	0.566131	0.00416897	0.571775	0.0842891	1.12736e-05	0.549516	3.07686e-05	0.617605	0.311788	0.576476	0.0045867	0.601484	0.00580361	0.567659	0.567659	0.538489	0.538489	0.529284	0.332088	0.682116	0.719149	0.637542	0.68941	0.60138	3.5097e-05	0.522783	0.000105464	0.522437	0.51152	0.509147	0.650371	0.555094	0.00134992	0.572724	0.572724	0.549579	0.547929	0.510444	0.582384	0.000820629	0.660898	0.509868	0.0309124	0.611887	0.107265	0.00784485	0.653159	0.508931	0.665726	0.563473	0.76558	7.14751e-07	0.171034	0.558733	0.58024	0.596431	0.152334	0.51487	0.174444	0.656843	0.630526	0.00109023	0.0369259	0.503249	0.505592	0.689138	0.0530084	0.614566	0.700818	0.565155	0.146159	N/A
OG0000083	8.25993e-07	0.00747472	0.532318	0.0685149	0.00998958	5.37858e-05	0.529218	0.554515	0.0196498	2.01579e-10	0.564994	0.0006277	0.00707094	8.75496e-12	0.528851	0.0608652	0.00926392	0.518362	2.3831e-15	6.67911e-07	0.514977	0.198892	0.000409281	0.00478281	0.116383	0.169886	0.579285	0.000317687	2.13052e-08	0.000370316	0.511413	0.505811	0.504605	0.047118	0.555094	0.000112253	7.26531e-23	0.553708	0.525777	0.524886	1.74619e-05	0.0661011	0.0810302	2.11888e-10	0.504971	0.0209305	0.561493	0.00203527	0.0482386	9.62676e-16	0.00338699	0.00017331	0.533389	0.00218629	0.0265805	0.55044	0.530772	0.542831	0.0275793	0.634019	0.50752	0.651039	0.590239	0.573063	2.84041e-07	0.535653	0.501628	0.502808	0.612889	0.079982	0.563128	0.621579	0.534324	0.150924	N/A
