#FamilyID	pvalue	Significant at 0.05
OG0000777	0	y
OG0000778	0	y
OG0000779	0	y
OG0000780	0	y
OG0000781	0	y
OG0000782	0	y
OG0000784	0	y
OG0000789	0	y
OG0000790	0	y
OG0000791	0	y
OG0000793	0	y
OG0000794	0	y
OG0000795	0	y
OG0000796	0	y
OG0000798	0	y
OG0000799	0	y
OG0000800	0	y
OG0000801	0	y
OG0000802	0	y
OG0000803	0	y
OG0000805	0	y
OG0000806	0	y
OG0000807	0	y
OG0000808	0	y
OG0000809	0	y
OG0000810	0	y
OG0000811	0	y
OG0000812	0	y
OG0000813	0	y
OG0000819	0	y
OG0000820	0	y
OG0000821	0	y
OG0000822	0.002	y
OG0000823	0	y
OG0000825	0	y
OG0000826	0	y
OG0000827	0	y
OG0000828	0	y
OG0000829	0	y
OG0000830	0	y
OG0000831	0	y
OG0000832	0	y
OG0000833	0	y
OG0000834	0	y
OG0000835	0	y
OG0000836	0	y
OG0000837	0	y
OG0000842	0	y
OG0000843	0	y
OG0000844	0	y
OG0000845	0	y
OG0000846	0	y
OG0000847	0	y
OG0000848	0	y
OG0000850	0	y
OG0000851	0	y
OG0000852	0	y
OG0000853	0	y
OG0000854	0	y
OG0000855	0	y
OG0000856	0	y
OG0000857	0.001	y
OG0000858	0	y
OG0000859	0	y
OG0000860	0	y
OG0000861	0	y
OG0000863	0	y
OG0000864	0	y
OG0000865	0	y
OG0000866	0	y
OG0000867	0	y
OG0000868	0	y
OG0000869	0	y
OG0000875	0	y
OG0000876	0	y
OG0000877	0	y
OG0000878	0	y
OG0000879	0	y
OG0000880	0	y
OG0000881	0	y
OG0000882	0	y
OG0000883	0	y
OG0000884	0.001	y
OG0000885	0	y
OG0000886	0	y
OG0000887	0	y
OG0000888	0.013	y
OG0000889	0	y
OG0000890	0	y
OG0000891	0	y
OG0000892	0	y
OG0000893	0	y
OG0000894	0	y
OG0000895	0.011	y
OG0000896	0	y
OG0000897	0	y
OG0000898	0	y
OG0000900	0	y
OG0000902	0	y
OG0000903	0	y
OG0000904	0	y
OG0000910	0	y
OG0000911	0	y
OG0000912	0	y
OG0000913	0	y
OG0000914	0	y
OG0000915	0.001	y
OG0000916	0	y
OG0000917	0	y
OG0000918	0	y
OG0000920	0	y
OG0000921	0	y
OG0000924	0	y
OG0000925	0	y
OG0000926	0	y
OG0000927	0	y
OG0000928	0	y
OG0000929	0	y
OG0000931	0	y
OG0000932	0	y
OG0000933	0	y
OG0000935	0	y
OG0000936	0	y
OG0000937	0	y
OG0000938	0	y
OG0000939	0	y
OG0000940	0	y
OG0000941	0	y
OG0000942	0	y
OG0000943	0	y
OG0000944	0	y
OG0000952	0	y
OG0000953	0	y
OG0000955	0	y
OG0000956	0	y
OG0000957	0	y
OG0000958	0	y
OG0000959	0	y
OG0000961	0	y
OG0000962	0	y
OG0000963	0	y
OG0000964	0	y
OG0000965	0	y
OG0000966	0.001	y
OG0000967	0	y
OG0000968	0	y
OG0000970	0.009	y
OG0000973	0	y
OG0000976	0	y
OG0000979	0	y
OG0000981	0	y
OG0000982	0	y
OG0000983	0	y
OG0000984	0	y
OG0000992	0	y
OG0000993	0	y
OG0000995	0.001	y
OG0000996	0.001	y
OG0000997	0	y
OG0000998	0	y
OG0000999	0	y
OG0001000	0.002	y
OG0001001	0	y
OG0001002	0	y
OG0001003	0	y
OG0001004	0	y
OG0001005	0	y
OG0001006	0	y
OG0001007	0	y
OG0001008	0.011	y
OG0001009	0	y
OG0001010	0	y
OG0001011	0	y
OG0001012	0	y
OG0001013	0	y
OG0001014	0	y
OG0001016	0	y
OG0001017	0	y
OG0001018	0	y
OG0001019	0	y
OG0001020	0	y
OG0001021	0	y
OG0001022	0	y
OG0001023	0	y
OG0001024	0	y
OG0001026	0	y
OG0001027	0	y
OG0001029	0	y
OG0001030	0	y
OG0001031	0	y
OG0001041	0	y
OG0001042	0	y
OG0001043	0	y
OG0001044	0	y
OG0001045	0	y
OG0001046	0.039	y
OG0001047	0	y
OG0001048	0.006	y
OG0001049	0	y
OG0001050	0	y
OG0001053	0	y
OG0001054	0	y
OG0001055	0	y
OG0001056	0	y
OG0001059	0	y
OG0001060	0	y
OG0001061	0	y
OG0001062	0	y
OG0001063	0	y
OG0001064	0	y
OG0001065	0	y
OG0001066	0	y
OG0001068	0	y
OG0001069	0	y
OG0001070	0	y
OG0001071	0	y
OG0001072	0	y
OG0001077	0	y
OG0001083	0.007	y
OG0001084	0	y
OG0001085	0	y
OG0001086	0	y
OG0001087	0	y
OG0001088	0	y
OG0001089	0	y
OG0001090	0	y
OG0001091	0	y
OG0001092	0.004	y
OG0001093	0	y
OG0001094	0	y
OG0001095	0	y
OG0001097	0	y
OG0001098	0	y
OG0001099	0	y
OG0001100	0	y
OG0001101	0	y
OG0001102	0	y
OG0001103	0	y
OG0001104	0	y
OG0001105	0	y
